Company, Position, Location, URL
한별시스템,[강남구청역-대기업 장기] 운영 자동화 설치 및 개발(JAVA  Python)  중급/월700,서울 강남구,https://www.jobkorea.co.kr/Recruit/GI_Read/40101968?Oem_Code=C1&logpath=1&stext=python&listno=98
한별시스템,[강남구청역-대기업 장기] 백앤드개발(JAVA  Python  SQL)  솔루션 고도화  중급/월700,서울 강남구,https://www.jobkorea.co.kr/Recruit/GI_Read/40101413?Oem_Code=C1&logpath=1&stext=python&listno=99
다중지능연구소,플라스크(Flask)프레임워크 사용경력자  파이썬  빅데이터 분석가 채용,서울 동작구,https://www.jobkorea.co.kr/Recruit/GI_Read/40090709?Oem_Code=C1&logpath=1&stext=python&listno=100
더조은컴퓨터학원,[더조은컴퓨터 구로캠퍼스] 빅데이터분석(파이썬  자바)기반 AI(머신러닝 딥러닝) 강사 채용,서울 구로구,https://www.jobkorea.co.kr/Recruit/GI_Read/40083363?Oem_Code=C1&logpath=1&stext=python&listno=101
디에이치오션,S/W 개발 프로그래머(Python),부산 사상구,https://www.jobkorea.co.kr/Recruit/GI_Read/40063238?Oem_Code=C1&logpath=1&stext=python&listno=102
㈜하이미디어컴퓨터디자인학원,하이미디어컴퓨터디자인학원(일산점) java강사를 모십니다(Java & Python을 활용한 빅데이터 서비스 개발자 양성 과정)),경기 고양시 외,https://www.jobkorea.co.kr/Recruit/GI_Read/40062266?Oem_Code=C1&logpath=1&stext=python&listno=103
다중지능연구소,서버 개발 및 관리자(Python 사용가능자),서울 동작구,https://www.jobkorea.co.kr/Recruit/GI_Read/40048089?Oem_Code=C1&logpath=1&stext=python&listno=104
하가,서버 개발 및 관리자(Python 사용가능자),경북 경산시,https://www.jobkorea.co.kr/Recruit/GI_Read/40048039?Oem_Code=C1&logpath=1&stext=python&listno=105
오아시스스토리㈜,프로그래머 모십니다 [java/jsp /c#/python],대전 서구 외,https://www.jobkorea.co.kr/Recruit/GI_Read/40039512?Oem_Code=C1&logpath=1&stext=python&listno=106
에스티엔인포텍,[경력] Web 개발/서버 개발자 모집(SpringBoot   Java  Python),경기 광명시,https://www.jobkorea.co.kr/Recruit/GI_Read/40013187?Oem_Code=C1&logpath=1&stext=python&listno=107
데이터메쉬,데이터 엔지니어 및 Python 인재 채용,서울 강남구 외,https://www.jobkorea.co.kr/Recruit/GI_Read/40000214?Oem_Code=C1&logpath=1&stext=python&listno=108
㈜메디터레이니언웍스,웹  응용프로그램 경력직 채용 (.NET  JAVA  Python 등),경기 성남시 외,https://www.jobkorea.co.kr/Recruit/GI_Read/39998541?Oem_Code=C1&logpath=1&stext=python&listno=109
㈜엑스오비스,인공지능(딥러닝) 개발자  Python 경력직 모집,서울 강남구,https://www.jobkorea.co.kr/Recruit/GI_Read/39986116?Oem_Code=C1&logpath=1&stext=python&listno=110
피에로컴퍼니,O2O 플랫폼 웹(백엔드) 개발자 python  django 인턴 정규직 채용,서울 용산구 외,https://www.jobkorea.co.kr/Recruit/GI_Read/39953658?Oem_Code=C1&logpath=1&stext=python&listno=111
PENTAIN,[동경] WebApplication개발자모집 (Java Python경력자),일본 도쿄,https://www.jobkorea.co.kr/Recruit/GI_Read/39953656?Oem_Code=C1&logpath=1&stext=python&listno=112
마이스터정보기술㈜,(공덕)XX증권 빌드시스템 개발(python  jenkins ),서울 중구 외,https://www.jobkorea.co.kr/Recruit/GI_Read/39948974?Oem_Code=C1&logpath=1&stext=python&listno=113
㈜솔리메틱스,스마트 솔루션 개발 프로그래머(Python  C#) 모집,강원 춘천시,https://www.jobkorea.co.kr/Recruit/GI_Read/39940229?Oem_Code=C1&logpath=1&stext=python&listno=114
㈜경포씨엔씨,[판교 삼성SDS캠퍼스]삼성전자 Brightics Law 솔루션(Rest API연계개발/Java  Python),경기 성남시,https://www.jobkorea.co.kr/Recruit/GI_Read/39930011?Oem_Code=C1&logpath=1&stext=python&listno=115
모빌리오,[배달로봇 및 자율자동차] 펌웨어 및 SW개발 엔지니어 C++ /Python,경기 성남시,https://www.jobkorea.co.kr/Recruit/GI_Read/39918630?Oem_Code=C1&logpath=1&stext=python&listno=116
기술좋은직업전문학교,K-Digital Traninging [국비무료] 빅데이터&자바&파이썬 전문인력 취업연계교육,부산 북구 외,https://www.jobkorea.co.kr/Recruit/GI_Read/39907663?Oem_Code=C1&logpath=1&stext=python&listno=117
㈜지에스아이오토모티브,python Data 전처리 업무 담당자 모집,대전 유성구,https://www.jobkorea.co.kr/Recruit/GI_Read/39888535?Oem_Code=C1&logpath=1&stext=python&listno=118
마스팜,AI기반 3세대 스마트팜 플랫폼 자바로직/파이썬 모델링 개발자,전북 전주시 외,https://www.jobkorea.co.kr/Recruit/GI_Read/39885724?Oem_Code=C1&logpath=1&stext=python&listno=119
라임프렌즈,[IT사회적기업] Android  iOS  Node.js  Python 개발자 경력(신입)자 모집,서울 금천구,https://www.jobkorea.co.kr/Recruit/GI_Read/39839464?Oem_Code=C1&logpath=1&stext=python&listno=120
라임프렌즈,[IT 사회적기업] PHP  Python  node.js 경력(신입) 개발자 모집,서울 금천구,https://www.jobkorea.co.kr/Recruit/GI_Read/39839393?Oem_Code=C1&logpath=1&stext=python&listno=121
㈜에임비랩,UNITY / PYTHON 개발자를 채용합니다,서울 금천구,https://www.jobkorea.co.kr/Recruit/GI_Read/39836171?Oem_Code=C1&logpath=1&stext=python&listno=122
㈔스마트융합기술인재개발원,UI/UX  웹퍼블리셔  자바 웹프로그래밍  파이썬  R   빅 데이터  AI  안드로이드  클라우드 강사 모집,대구 수성구 외,https://www.jobkorea.co.kr/Recruit/GI_Read/39833844?Oem_Code=C1&logpath=1&stext=python&listno=123
